ref,date,time,boat_status,attack_status,ship_name,type,flag,grt,imo_number,latitude,longitude,position,waters,narration,region,success
10,23.05.2019 ,1330,anchored,boarded,Odysseas L,bulk carrier,Liberia,44180,9597381,03:43.0S ,114:26.3E ,Taboneo Anchorage,Indonesia,"Seven persons armed with knives, boarded an anchored ship. Duty watchman raised the alarm and crew mustered. The persons threatened the crew, stole ship’s stores and escaped. Incident reported to Taboneo Port Control. A patrol boat was dispatched to investigate. ",South East Asia,actual
11,28.05.2019 ,1852,berthed,boarded,CSK Enterprise,bulk carrier,Singapore,107449,9816555,05:59.8S ,105:57.8E ,"D6 Berth, Cigading Port",Indonesia,"Duty watchman on routine rounds noticed two robbers in the steering gear room during safety patrols and immediately informed the OOW who sounded the ship’s whistle and PA announcement made. On searching the ship, ship’s crew found the steering gear room's lock broken and engine spares stolen. ",South East Asia,actual
12,31.05.2019 ,1530,anchored,boarded,SafeSea Neha II,bulk carrier,Liberia,31144,9347918,01:35.83N ,104:28.73E ,"Around 13nm ENE of Bandar Penawar, Johor",Malaysia,"Duty Officers onboard an anchored ship noticed an unauthorised person on the forecastle and proceeded to investigate. As the officers arrived, the person threatened them with a knife and escaped with his accomplice who was waiting in a boat. Incident reported to the local authorities. Coast Guard boarded the ship to investigate. Nothing reported stolen. ",South East Asia,actual
13,17.06.2019 ,1800,steaming,boarded,SA/232/5/F,fishing vessel,Malaysia,NA,NA,NA,NA,"Enroute from Tambisan to Semporna, Sabah",Malaysia,Two fishing vessels with 16 crews were approached and boarded by armed persons while en route from Tambisan to Semporna. The armed persons kidnapped 10 crews and escaped. Local authorities notified. The nine crew were reported released on 21.06.2019. One remaining crew still held. ,South East Asia,actual
14,30.06.2019 ,930,berthed,boarded,NA,bulk carrier,Marshall Islands,36336,NA,NA,NA,"Berth 115 Tanjung Priok Port, Jakarta",Indonesia,"Unnoticed, robbers boarded the berthed ship during cargo operations. Duty Bosun on routine rounds noticed the store padlock broken and notified the OOW. Alarm raised, and crew mustered. Ship’s properties reported stolen. Incident reported to the Port Authorities. The Port Security Police and the Coast Guard boarded the ship for investigation. ",South East Asia,actual
15,11.07.2019 ,230,steaming,boarded,Modalwan No.11,tug,Malaysia,91,NA,01:13N ,103:31E ,"Around 2.9nm South of Tanjung Piai, Johor",Malaysia,"Six small wooden boats approached the tug and barge underway. The unauthorised persons boarded the barge, stole its cargo of scrap metal and escaped. The Master contacted the local authorities who dispatched a patrol vessel to investigate.",South East Asia,actual
16,21.07.2019 ,1925,steaming,boarded,CK Bluebell,bulk carrier,South Korea,44132,9595876,02:55.8N ,105:10.8E ,Around 16nm NW of Pulau Damar,Indonesia,"Seven pirates armed with a pistol and knives in a small speed boat boarded the ship underway using a ladder attached with a hook. Master and the second officer taken hostage, tied up and assaulted by the pirates. The pirates stole cash and crew personal belongings before escaping. Incident reported to Korean Authorities. ",South East Asia,actual
17,22.07.2019 ,2300,berthed,boarded,Crest Onyx,offshore tug,Indonesia,1727,9655717,01:04.15N,103:54.20E,"PT Dharma Sentosa Marindo Yard, Batam",Indonesia,"Four robbers in a boat approached and boarded the berthed offshore tug. Second mate on routine rounds noticed footprints on the main deck. Further checks revealed a storeroom padlock broken. Alarm raised and crew mustered. Vessel’s properties were reported stolen. The following day at 2100 UTC, a suspicious boat came alongside the tug with two persons onboard. One of them was armed with a knife. Alert crew raised the alarm resulting in the boat moving away. Incident reported to PFSO and Yard Manager. ",South East Asia,actual
18,27.07.2019 ,1955,berthed,boarded,Bright Dawn,product tanker,Panama,30042,9362372,01:45.5N ,101:22.0E ,"SDS Terminal, St 1, Lubuk Gaung",Indonesia,"Four armed robbers boarded the berthed tanker during cargo operations. Alert crew noticed the robbers near the engine room and raised the alarm. Upon hearing the alarm and seeing the crew alertness, the robbers escaped through the steering gear room. A search was carried out. It was reported that engine spares were stolen. Incident reported to the PFSO. ",South East Asia,actual
19,30.07.2019 ,2220,steaming,boarded,Sichem Rio,chemical tanker,Malta,8562,9322073,06:01.1S ,106:52.8E ,"Around 5nm North of Tanjung Priok, Jakarta",Indonesia,"Six robbers armed with knives boarded the tanker waiting for pilot. They injured the Chief Engineer on routine rounds. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to the VTS. ",South East Asia,actual
20,30.07.2019 ,2320,anchored,boarded,Strategic Unity,bulk carrier,Singapore,24641,9648099,03:56.8N ,098:48.7E ,Belawan Anchorage,Indonesia,"Two robbers boarded an anchored ship. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to Port Control. ",South East Asia,actual
21,20.08.2019,2040,anchored,boarded,Salviceroy,tug,Marshall Islands,2658,9351830,01:06.15N,103:53.06E ,Batam Anchorage,Indonesia,Five robbers armed with knives boarded an anchored tug. Crew alerted and alarm raised. All crew mustered in a safe location and called the local authorities who responded and boarded the tug for investigations. Deck and engine room spares were reported stolen. All crew safe. ,South East Asia,actual
22,22.08.2019,1830,anchored,boarded,Tomini Dynasty,bulk carrier,Marshall Islands,36308,9721360,03:54.40N ,098:47.25E ,Belawan Anchorage,Indonesia,"Duty crew onboard an anchored ship noticed a small boat near the anchor chain. Crew told the boat to move away as they were about to heave up the anchor. As the duty crew was about to raise the alarm, two armed robbers who had already boarded the ship, held the duty crew at knife point and tied him up. When the ship was ready to heave up the anchor, the remaining crew proceeded to the forecastle. On seeing these crew members approaching, the robbers snatched the duty crew’s walkie-talkie and escaped through the hawse pipe after opening the security cover. Incident reported to Port Control. On berthing, Marine Police boarded the ship for investigation.",South East Asia,actual
23,25.08.2019,2045,anchored,boarded,Eagle,tanker,Marshall Islands,160904,9233753,01:35N ,104:32E ,"Around 17nm ENE of Bandar Penawar, Johor",Malaysia,"Duty crew onboard an anchored tanker noticed armed persons on the forecastle and notified the duty officer. Alarm raised and forward whistle sounded. Master advised all crew to retreat into the accommodation. Hearing the alarm, the armed persons escaped with a life raft and other ship's properties. ",South East Asia,actual
24,27.08.2019,1225,berthed,boarded,NA,bulk carrier,Singapore,24785,NA,NA,NA,"Sandakan Port, Sabah",Malaysia,"During routine rounds, duty AB onboard the berthed ship noticed two robbers on the forecastle and raised the alarm. Seeing the alerted crew, the robbers jumped overboard and escaped in a boat which was alongside the ship with another robber. Upon investigation, ship’s properties reported stolen. Incident reported to local police. ",South East Asia,actual
25,08.09.2019,908,anchored,boarded,British Contributor,LNG tanker,Isle of Man,115366,9766554,01:34.6N ,104:30.9E,"Around 15nm East of Bandar Penawar, Johor",Malaysia,"Three robbers boarded an anchored tanker via the anchor cable. They stole the forward life raft, ship’s properties, stores and escaped. The theft was noticed through the CCTV recording. ",South East Asia,actual
26,18.09.2019,1900,berthed,boarded,NA,product tanker,Marshall Islands,11561,NA,NA,NA,"Dermaga Kencana Terminal, Balikpapan",Indonesia,Two robbers boarded the berthed tanker. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping without stealing anything. Incident reported to local authorities. ,South East Asia,actual
27,23.09.2019,358,steaming,boarded,NA,fishing vessel,Malaysia,NA,NA,05:34.05N ,119:07.05E ,"Around 6.3nm North of Pulau Tambisan, Sabah",Malaysia,"Seven armed persons in two pump boats, wearing camouflage uniforms and masks, approached two fishing vessels. The persons boarded the fishing vessels, held the crews at gunpoint and took their personal effects, documentation and phone. Before leaving the armed persons kidnapped three crew members from one fishing vessel and headed to Tawi-Tawi Islands. On 22 Dec 2019, two kidnapped crew were rescued during the Philippines Military Operations. ",South East Asia,actual
28,25.09.2019,2015,anchored,boarded,Front Leopard,tanker,Marshall Islands,62700,9703320,01:34N ,104:31E ,"Around 16nm East of Bandar Penawar, Johor",Malaysia,"Unnoticed, robbers boarded an anchored tanker via anchor chain and stole ship’s equipment from the forward store and escaped. Incident reported to regional authorities. ",South East Asia,actual
29,25.09.2019,2206,anchored,boarded,TSL Rosemary,general cargo,Hong Kong,21483,9527192,01:36N ,104:32E ,"Around 16nm East of Bandar Penawar, Johor",Malaysia,"A Bosun onboard an anchored ship sighted three robbers on the forecastle and immediately informed the OOW, who raised the alarm. The crew mustered and proceeded towards the forward. Seeing the alerted crew, the robbers escaped with a mooring rope.",South East Asia,actual
30,30.09.2019,1515,steaming,boarded,Transpacific,bulk carrier,Malta,43721,9597226,01:02.7N ,103:39.0E ,Singapore Straits,Singapore,"Deck crew on routine rounds onboard the ship underway in the Singapore TSS spotted five armed robbers on the aft deck. Alarm raised, SSAS activated and PA announcement made resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS. After almost one hour and in Singapore waters, a Singapore police coast guard boat intercepted and escorted the ship to Singapore, where they boarded and searched the ship to ensure that the robbers had left. ",South East Asia,actual
31,05.10.2019,1800,anchored,boarded,Clipper Eos,LPG tanker,Norway,18898,9827205,01:18.14N ,104:07.03E ,Johor Anchorage,Malaysia,"Unnoticed, robbers boarded an anchored tanker, stole ship’s properties and escaped. Duty crew on routine rounds noticed the theft and notified the OOW. ",South East Asia,actual
32,08.10.2019,1920,anchored,boarded,NA,product tanker,Saudi Arabia,29575,NA,01:43N ,101:26E ,Dumai Inner Anchorage,Indonesia,"Duty officer onboard an anchored tanker noticed four robbers on deck and informed the Master. Alarm raised, crew mustered, and PA announcement made. The robbers escaped without stealing anything. Incident reported to local agent. ",South East Asia,actual
33,08.10.2019,1507,steaming,boarded,Hirado,tanker,Greece,159806,9377420,01:05.1N ,103:42.3E ,Singapore Straits,Singapore,"Five robbers armed with knives and crowbars boarded the tanker underway and entered the engine room. Duty Engine crew noticed the robbers and raised the alarm, resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS. ",South East Asia,actual
34,19.10.2019,1700,steaming,boarded,Nord Steel,bulk carrier,Singapore,90086,9406518,01:03.45N ,103:38.70E ,Singapore Straits,Singapore,Duty oiler on routine rounds onboard the ship underway was taken hostage by five robbers armed with a gun and knives. The robbers threatened the oiler and tied his hands. They then stole ship’s spares and escaped. The oiler reported the incident to the OOW who raised the alarm and notified Singapore VTIS. ,South East Asia,actual
35,21.10.2019,1747,anchored,boarded,CSK Enterprise,bulk carrier,Singapore,107449,9816555,06:01.3S ,105:53.8E ,Cigading Anchorage,Indonesia,"Alert crew onboard an anchored ship noticed four unauthorized persons near the entrance of the engine room. Alarm raised and crew mustered. Hearing the alerted crew, the persons escaped without stealing anything. ",South East Asia,actual
36,24.10.2019,2115,steaming,boarded,NA,product tanker,Saudi Arabia,29168,NA,01:03N ,103:38E ,Singapore Straits,Singapore,"Alert crew onboard the tanker underway noticed four robbers on deck and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to Singapore VTIS. ",South East Asia,actual
37,27.11.2019,2045,steaming,boarded,Kmax Evdokia,bulk carrier,Marshall Islands,41662,9341873,01:17.79N ,104:20.47E ,Singapore Straits,Singapore,"While underway, a duty engine crew onboard the ship was confronted by robbers armed with knives. The robbers threatened the crew with a knife and attempted to take him hostage. The crew managed to escape and raised the alarm resulting in the crew mustering. Seeing the alerted crew, the robbers escaped without stealing anything. Master reported the incident to VTIS. A patrol boat was dispatched to the location. Ship and crew safe.",South East Asia,actual
38,28.11.2019,1520,steaming,boarded,China Pioneer,bulk carrier,Hong Kong,106884,9588768,01:16.2N,104:13.4E ,Singapore Straits,Singapore,"Chief Engineer onboard the ship underway noticed four robbers armed with knives in the engine room and informed the Master. Alarm raised, deck lights switched on and crew mustered. Seeing the alerted crew, the robbers escaped. A search was carried out. Footprints were noticed on the quarter deck. Nothing reported stolen. ",South East Asia,actual
39,30.11.2019,2140,anchored,boarded,CMA CGM New Jersey,container,Malta,54309,9351141,14:32.77N ,120:52.65E ,Manila Anchorage,Philippines,"Robbers boarded an anchored ship awaiting berthing instructions, via the anchor cable and hawse pipe. They broke into the bosun’s store, stole ship’s properties and escaped. The theft was noticed during routine rounds. Incident reported to Port Authorities. ",South East Asia,actual
40,10.12.2019,2025,anchored,boarded,Berge Asahidake,bulk carrier,Isle of Man,21530,9713181,05:30.3S,105:17.5E,Panjang Anchorage,Indonesia,"Three robbers armed with long knives boarded an anchored ship. They broke into the engine room workshop, stole auxiliary engine spares and escaped. Authorities notified. ",South East Asia,actual
41,20.12.2019,1530,steaming,boarded,Akij Globe,bulk carrier,Bangladesh,30000,9293105,01:15N ,104:01E ,Singapore Straits,Singapore,"Five robbers armed with long knives boarded the ship underway. They entered the engine room, took hostage two duty crew and threatened them with knives. The robbers stole engine spares and escaped. Alarm raised, crew mustered, and incident reported to Singapore VTIS. A coast guard boat responded and escorted the ship to an anchorage where they boarded the ship for inspection. All crew safe. ",South East Asia,actual
42,22.12.2019,1600,steaming,boarded,Bamzi,tanker,Panama,58088,9256468,01:15.26N ,104:05.00E ,Singapore Straits,Singapore,"While underway, the tanker was boarded by five robbers armed with knives. Two duty crew on routine rounds were confronted by the robbers, who threatened them and tied them up. Alarm raised and crew mustered. Hearing the alarm, the robbers escaped without stealing anything. Incident reported to Singapore VTIS. ",South East Asia,actual
43,22.12.2019,1720,steaming,boarded,Trust Star,bulk carrier,Panama,21699,9610236,01:15.57N ,104:07.01E ,Singapore Straits,Singapore,"Five persons armed with knives and guns boarded the ship underway. They entered the engine room, took hostage two duty crew, threatened them and tied them up. The robbers stole engine spares and escaped. Incident reported to Singapore VTIS. A coast guard boat responded and escorted the ship. ",South East Asia,actual
44,24.12.2019,1620,steaming,boarded,Stena Immortal,product tanker,United Kingdom,29666,9685475,01:09N ,103:29E ,Singapore Straits,Singapore,"Five robbers boarded the tanker underway. Second Engineer noticed and shouted at the robbers. Alarm raised, crew mustered, and incident reported to Singapore VTS. Seeing the crew alertness, the robbers escaped without stealing anything. The tanker anchored at Sudong Special anchorage where Singapore coast guard personnel boarded the tanker for inspection. All crew safe. ",South East Asia,actual
1,11.01.2019,2030,anchored,boarded,NA,bulk carrier,Hong Kong,94866,NA,38:53.60N ,118:36.65E ,Caofeidian Anchorage,China,"Two robbers, armed with a steel bar, boarded an anchored ship. Duty crew noticed the robbers and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to port authorities. ",East Asia,actual
2,29.01.2019,1655,anchored,boarded,FMG Northern Spirit,ore carrier,Hong Kong,134693,9753595,38:52.8N ,119:11.8E ,Jingtang Anchorage,China,"Duty crew onboard an anchored ship noticed an unlit barge alongside and raised the alarm. Two robbers wearing masks were seen lowering hoses and escaping from the quarter deck. On searching the ship, oil stains were noticed near the MDO tank sounding pipe. All tanks were sounded. Nothing reported stolen. Tangshan VTS informed. ",East Asia,actual
3,10.02.2019,1840,anchored,boarded,RTM Dampier,bulk carrier,Singapore,106796,9591325,38:52.50N ,118:42.60E,Caofeidian Anchorage,China,"Duty officer onboard an anchored ship noticed from the bridge wing a hose connected from an opened DO tank manhole to a small unlit barge alongside the ship. Alarm raised, and duty AB instructed to investigate. Hearing the alarm, the duty officer noticed a robber lowering the hose and escaping in the barge. On sounding the tank, it was reported that DO had been stolen. Incident reported to VTS Caofeidian. ",East Asia,actual
4,25.07.2019,1240,berthed,boarded,Molengracht,general cargo,Netherlands,9524,9571533,10:44.45N ,106:44.71E,"Lotus Port, Ho Chi Minh City",Vietnam,"Third officer on routine rounds onboard the berthed ship noticed an unauthorised person on deck throwing items over the shipside. On checking, the duty officer saw two boats collecting the items. Alarm raised. Seeing the approaching officer, the unauthorised person escaped. Upon checking it was found that the padlock of the forward store was broken, and ship’s properties were stolen. Local authorities notified. ",East Asia,actual
5,11.08.2019,1930,berthed,boarded,Kota Waris,container,Singapore,16772,9157404,10:44.3N ,106:46.2E,Phuoc Long Mooring Buoy No. 03,Vietnam,"Duty AB on routine rounds onboard the berthed ship noticed two robbers armed with knives trying to break into the steering gear room. Duty Officer notified. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped. Nothing reported stolen. ",East Asia,actual
1,03.02.2019,1630,berthed,boarded,Maersk Erik,product tanker,Singapore,25382,9316608,23:02.02N ,070:13.39E ,"Oil Jetty No.4, Kandla Port",India,"The chief officer on routine rounds onboard the berthed tanker noticed a boat under the forecastle and notified the other deck crew. Seeing the alerted crew, the boat moved away. On inspection, it was noticed that a store room had been broken into, but nothing reported stolen. Port Authorities notified.",Indian Sub-Continent,actual
2,13.04.2019,1006,anchored,boarded,Sonangol Namibe,tanker,Bahamas,83469,9325049,17:37.1N ,083:19.2E ,Visakhapatnam SPM Anchorage,India,"Five boats with 11 persons approached the tanker during anchoring operations. Upon anchoring the boats came alongside, threw a hook attached to a rope onto the ship’s rails and commenced boarding the tanker. Alarm raised, ship’s horn sounded, and crew mustered. Port Authorities notified. The unauthorised persons remained on deck as the crew prevented them from entering the accommodation. They did not confront the crew but refused to leave the tanker. Finally, on seeing the approaching pilot boat, the unauthorised persons disembarked. ",Indian Sub-Continent,actual
3,23.09.2019,1925,anchored,boarded,Trammo Cornell,LPG tanker,Singapore,25600,9543081,17:03.8N ,082:26.2E ,Kakinada Anchorage,India,Four robbers boarded an anchored tanker using a hook attached to a rope. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping in their boat with ship’s stores. Incident reported to port authorities. ,Indian Sub-Continent,actual
1,03.01.2019,328,anchored,boarded,CMA CGM Kingston,container,Portugal,16162,9376907,10:19.1N ,075:31.3W ,Mamonal Anchorage ,Colombia,"Deck watchmen onboard an anchored ship noticed three robbers near the forecastle and informed the duty officer. Alarm raised, crew mustered inside the accommodation and all doors were locked from inside. Master reported the incident to the Coast Guard and requested assistance. A Coast Guard boat arrived and searched the waters around the ship. Ship’s properties were reported missing. ",Americas,actual
2,17.01.2019,340,anchored,boarded,Gerd Knutsen,tanker,Isle of Man,79592,9041057,10:11.7N ,064:47.3W ,Puerto Jose Anchorage,Venezuela,Robbers boarded an anchored tanker unnoticed. They stole ship’s stores and escaped. The theft was noticed by the duty crew during routine rounds. Port control informed. ,Americas,actual
3,10.03.2019,430,anchored,boarded,Pilion,bulk carrier,Barbados,32210,9425825,00:03.5N ,050:57.8W ,Macapa Anchorage ,Brazil,"Two robbers armed with knives boarded an anchored ship using a rope attached with a hook. Duty AB on routine rounds spotted the robbers and immediately informed the OOW, who raised the alarm. PA announcement made, and all crews mustered. Seeing the alerted crews, the robbers escaped without stealing anything. Incident reported to Port Authorities. ",Americas,actual
4,21.03.2019,435,anchored,boarded,Cabo Fuji,tanker,Panama,42791,9730878,10:11.2N ,064:47.4W,Jose Terminal Anchorage,Venezuela,"Three robbers armed with knives boarded an anchored tanker. Deck watch on routine rounds spotted the robbers and notified the OOW just before the robbers threatened him with a knife and stole his radio. Alarm raised, and crew mustered resulting in the robbers escaping with their accomplices in a waiting boat. Incident reported to Port Authorities.",Americas,actual
5,21.03.2019,900,anchored,boarded,Navigator Virgo,LPG tanker,Liberia,18311,9404819,18:24.8N ,069:19.1W ,San Pedro de Macoris Anchorage,Dominican Republic,"Robbers boarded an anchored tanker unnoticed, stole ship’s properties and escaped. Incident was noticed during routine rounds. ",Americas,actual
6,28.03.2019,410,anchored,boarded,Diamondway,tanker,Liberia,81545,9742895,10:11.40N ,064:52.17W ,Jose Terminal Anchorage,Venezuela,"Five robbers armed with knives and a pipe wrench boarded an anchored tanker. They tied up the aft watch keeper and broke into the paint store. Alarm raised, and crew mustered. Hearing the alerted crew, the robbers escaped with stolen ship’s stores. ",Americas,actual
7,14.04.2019,645,anchored,boarded,Port Imabari,bulk carrier,Marshall Islands,35825,9846263,12:01.9S ,077:11.2W ,Callao Anchorage,Peru,"Five robbers boarded an anchored ship using a rope attached with a hook. Duty AB on routine rounds was attacked, threatened and beaten. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped with the duty AB’s personal belongings. Incident reported to local Authorities who boarded the ship for investigation. ",Americas,actual
8,25.04.2019,340,anchored,boarded,Taurus,bulk carrier,Isle of Man,93196,9403530,12:17.9N ,072:01.2W ,Puerto Bolivar Anchorage,Colombia,"Two robbers in a small boat approached and boarded an anchored ship. Alert crew noticed the robbers and raised the alarm. Crew mustered. Hearing the alarm and seeing the crew alertness, the robbers escaped empty handed. Coast Guard informed. ",Americas,actual
9,26.04.2019 ,200,anchored,boarded,NA,tanker,Singapore,64459,NA,10:12.3N ,064:45.9W ,Puerto Jose Anchorage,Venezuela,"Six persons in a small boat with an outboard motor approached and boarded an anchored tanker. Duty crew on routine rounds noticed the robbers and raised the alarm. Hearing the alarm and seeing the crew alertness, the robbers escaped in their boat. A search was carried out. Nothing reported stolen. Incident reported to the Coast Guard through the local agents. ",Americas,actual
10,26.04.2019 ,330,anchored,boarded,Seletar Spirit,tanker,Bahamas,60139,9484077,10:17.0N ,064:42.2W ,Puerto La Cruz Anchorage,Venezuela,"Duty Officer noticed on the CCTV one unauthorised person on the forecastle and raised the alarm. Hearing the alerted crew, the robber escaped. A security search of the tanker showed ship’s properties stolen from the forecastle store. ",Americas,actual
11,26.04.2019 ,700,anchored,boarded,CS Jola,bulk carrier,Marshall Islands,23269,9791896,12:01S ,077:13W ,Callao Anchorage,Peru,"Unnoticed, robbers boarded an anchored ship and escaped with ship’s stores. The theft was noticed by the duty crew during routine rounds. Port Control informed. ",Americas,actual
12,02.04.2019,730,anchored,boarded,Aqua Lobo,pleasure craft,Cayman Island,NA,NA,09:16.40N ,078:07.45W ,Around 1.9nm ENE of San Ignacio De Tupile,Panama,"The IMB Piracy Reporting Center (PRC) received a distress call from an anchored pleasure boat with a family of four onboard. The distress call indicated that the boat had been  boarded by unknown persons and one family member had been shot and killed and another injured, while two other family members were unharmed. The IMB PRC immediately informed the Panamanian Authorities. A marine police boat was dispatched to the location to render assistance to the pleasure boat. The IMB PRC continued to liaise with the authorities and the victim until the marine police boat arrived at location and boarded the pleasure boat. The injured person together with two other family members were taken ashore for medical treatment.",Americas,actual
13,15.05.2019,700,berthed,boarded,NA,product tanker,Panama,29447,NA,NA,NA,"Martissant Terminal, Port Au Prince",Haiti,Two armed robbers boarded the berthed tanker using a hook attached to a rope. Duty crew noticed the robbers and raised the alarm resulting in the robbers escaping with ship’s stores. Incident reported to PFSO. ,Americas,actual
14,18.05.2019 ,555,anchored,boarded,Methane Mickie,harper,Bermuda,109004,9520376,11:59.8S ,077:11.9W ,Callao Anchorage,Peru,"Around four to five robbers wearing face masks boarded an anchored tanker via the hawse pipe. They took hostage the duty crew on routine rounds. Alarm raised, ship’s whistle sounded, and crew mustered. Hearing the alarm, the robbers took the duty crew’s radio, pushed him and escaped in their boat. Incident was reported to Port Control and a patrol boat was dispatched to the anchorage area. ",Americas,actual
15,31.05.2019 ,525,anchored,boarded,CS Sonoma,bulk carrier,Bahamas,32987,9569944,00:03.27N ,050:58.93W,Macapa Anchorage ,Brazil,"Six robbers armed with knives boarded an anchored ship through the anchor chain. Duty AB on routine rounds spotted the robbers and immediately informed the Master, who raised the alarm. PA announcement made, whistle sounded, and all crew mustered. A search was carried out. Ship’s crew found the paint store room's lock broken and ship's stores reported stolen. ",Americas,actual
16,04.08.2019,1200,anchored,boarded,Tog Mor,maintenance pontoon,Malta,7235,8759152,18:48.8N ,091:47.8W ,Ciudad Del Carmen Anchorage,Mexico,"Crew onboard the maintenance pontoon reported ship’s stores and properties were stolen. A machete was found near the store room. Master later received information from another vessel in the vicinity, that robbers had attempted to board their vessel also. Incident reported to the Mexican Coast Guard/Navy. Three patrol boats were dispatched to investigate. ",Americas,actual
17,22.09.2019,100,steaming,boarded,EF Eldra,container,Marshall Islands,16137,9470882,02:32.44S ,080:05.72W ,Around 4.5nm WNW of Isla Escalante,Ecuador,"Two duty crew onboard the ship under pilotage failed to respond to routine radio checks from the OOW. Investigations revealed that both the crew had been assaulted and tied up. They reported that seven persons armed with a shotgun had boarded, taken them hostage and stolen their personal effects and radios before escaping. The ship proceeded to Posorja roads where the coast guard and anti-narcotics police team boarded and searched the ship. Once clearance was given, the ship resumed her passage. ",Americas,actual
18,30.09.2019,700,anchored,boarded,Dorthe Oldendorff,bulk carrier,Liberia,24726,9598921,12:01.5S ,077:11.9W ,Callao Anchorage,Peru,"Four robbers boarded an anchored ship. They took hostage the duty AB and tied his hands. When the duty officer did not receive a response from the duty AB, he ordered other crew members to investigate. Upon arriving at the forecastle, the crew members saw the duty AB was tied and raised the alarm. Hearing the alarm and seeing the alerted crew, the robbers escaped. The duty AB was unharmed. Ship's properties were reported stolen. Incident reported to the port authority and local agent. ",Americas,actual
